Unix Time,Eastern Time,Occupancy
1745445780,2025-04-23 18:03:00,1
1745445840,2025-04-23 18:04:00,1
1745445900,2025-04-23 18:05:00,1
1745445960,2025-04-23 18:06:00,1
1745446020,2025-04-23 18:07:00,1
1745446080,2025-04-23 18:08:00,1
1745446140,2025-04-23 18:09:00,1
1745446200,2025-04-23 18:10:00,1
1745446260,2025-04-23 18:11:00,1
1745446320,2025-04-23 18:12:00,1
1745446380,2025-04-23 18:13:00,1
1745446440,2025-04-23 18:14:00,1
1745446500,2025-04-23 18:15:00,1
1745446560,2025-04-23 18:16:00,1
1745446620,2025-04-23 18:17:00,1
1745446680,2025-04-23 18:18:00,1
1745446740,2025-04-23 18:19:00,1
1745446800,2025-04-23 18:20:00,1
1745446860,2025-04-23 18:21:00,1
1745446920,2025-04-23 18:22:00,1
1745446980,2025-04-23 18:23:00,1
1745447040,2025-04-23 18:24:00,1
1745447100,2025-04-23 18:25:00,1
1745447160,2025-04-23 18:26:00,1
1745447220,2025-04-23 18:27:00,1
1745447280,2025-04-23 18:28:00,1
1745447340,2025-04-23 18:29:00,1
1745447400,2025-04-23 18:30:00,1
1745447460,2025-04-23 18:31:00,1
1745447520,2025-04-23 18:32:00,1
1745447580,2025-04-23 18:33:00,1
1745447640,2025-04-23 18:34:00,1
1745447700,2025-04-23 18:35:00,1
1745447760,2025-04-23 18:36:00,1
1745447820,2025-04-23 18:37:00,1
1745447880,2025-04-23 18:38:00,1
1745447940,2025-04-23 18:39:00,1
1745448000,2025-04-23 18:40:00,1
1745448060,2025-04-23 18:41:00,1
1745448120,2025-04-23 18:42:00,1
1745448180,2025-04-23 18:43:00,1
1745448240,2025-04-23 18:44:00,1
1745448300,2025-04-23 18:45:00,1
1745448360,2025-04-23 18:46:00,1
1745448420,2025-04-23 18:47:00,1
1745448480,2025-04-23 18:48:00,1
1745448540,2025-04-23 18:49:00,1
1745448600,2025-04-23 18:50:00,1
1745448660,2025-04-23 18:51:00,1
1745448720,2025-04-23 18:52:00,1
